opis_id,name,address,city,state,lat,lon,price_per_gallon,geocode_source
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,35.14745,-90.1812,3.32566666,city_centroid
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,39.6551,-79.1241,3.899,city_centroid
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,47.52696,-111.28084,3.63566666,city_centroid
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,41.9362,-86.5543,3.559,city_centroid
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,37.7569,-100.0241,3.399,city_centroid
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,41.91865,-83.45835,3.249,city_centroid
278,CARLISLE PLAZA,US-41,Carlisle,IN,38.9763,-87.3667,3.499,city_centroid
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,39.2953,-85.9498,3.399,city_centroid
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,38.96718,-95.25106,3.229,city_centroid
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,37.2668,-95.559,3.23233333,city_centroid
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,38.1448,-96.5541,3.25566666,city_centroid
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,42.12438,-72.57273,3.599,city_centroid
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,39.10459,-94.69292,3.199,city_centroid
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,41.1275,-101.7107,3.46566666,city_centroid
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard,UT,41.3989,-112.0317,3.749,city_centroid
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,30.0815,-81.5477,3.469,city_centroid
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,41.5672,-87.1757,3.99066666,city_centroid
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,42.113,-75.8936,3.689,city_centroid
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,30.31193,-81.65332,3.31566666,city_centroid
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,43.1803,-73.7053,3.749,city_centroid
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,41.57518,-87.46972,3.999,city_centroid
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,31.9618,-95.2703,2.91566666,city_centroid
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,32.68054,-114.55854,3.489,city_centroid
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,40.2655,-82.8511,3.719,city_centroid
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,41.0227,-81.8562,3.699,city_centroid
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,39.9535,-82.4919,3.429,city_centroid
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg,OH,41.54995,-83.60995,3.499,city_centroid
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,35.49495,-97.48864,3.30233333,city_centroid
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,35.4718,-97.2726,2.899,city_centroid
425,Neighbors Express,"I-16, EXIT 51",Dublin,GA,32.4997,-82.92655,3.299,city_centroid
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,42.1149,-102.888,3.324,city_centroid
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,37.9451,-77.4714,3.26566666,city_centroid
456,THE COUNTRY OASIS,US-24,Woodburn,IN,41.1253,-84.8533,3.399,city_centroid
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,40.4306,-95.5274,3.399,city_centroid
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,33.9581,-81.3914,3.079,city_centroid
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,33.51443,-80.86607,3.26233333,city_centroid
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,37.472984998514,-105.857358828025,3.259,census
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,32.4296,-88.4892,3.299,city_centroid
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,48.859,-97.2886,3.299,city_centroid
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,36.690680813377,-101.481570029771,2.97566666,census
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo,TX,27.51856,-99.46174,3.299,city_centroid
489,EDDIES CORNER,US-87 & US-191,Moore,MT,46.9755,-109.6969,3.749,city_centroid
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,36.115,-84.0438,2.999,city_centroid
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,35.991520702044,-83.968794555806,3.439,census
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,31.0391,-104.8245,3.649,city_centroid
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City,OH,40.0459,-81.4479,3.179,city_centroid
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,34.30806,-83.86304,3.26566666,city_centroid
525,FASTBREAK,US-45 ALT,West Point,MS,33.6076,-88.6503,3.059,city_centroid
546,PLAZA 30,US-30,Wanatah,IN,41.3845,-86.8764,3.499,city_centroid
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,41.333,-89.1265,3.289,city_centroid
